Title,release_year,IMDb
The Bling Ring,2013,5.6
The Green Inferno,2013,5.3
The Midas Touch,2013,5.1
Would You Rather,2013,5.7
6-5=2,2014,6
A Fairly Odd Summer,2014,4
Alpha and Omega: The Legend of the Saw Tooth Cave,2014,5.4
Anjaan,2014,5
Bibi & Tina,2014,4.9
Break Up 100,2014,5.8
Breaking the Bank,2014,4.8
Chal Bhaag,2014,4.3
Chelsea Handler: Uganda Be Kidding Me Live,2014,5.8
Cut Bank,2014,6
Dabbe 5: Zehr-i Cin,2014,6
Deliha,2014,4.6
Don't Go Breaking My Heart 2,2014,5.5
Earth to Echo,2014,5.8
God's Not Dead,2014,4.7
Good People,2014,5.5
Happy New Year,2014,5
Humpty Sharma Ki Dulhania,2014,6
Iron Man & Captain America: Heroes United,2014,5.5
Life After Beth,2014,5.6
Manhattan Romance,2014,5.6
May We Chat,2014,5
Mighty Raju Rio Calling,2014,4.8
Miss Julie,2014,5.4
Monsters: Dark Continent,2014,4.3
Mundeyan Ton Bachke Rahin,2014,5.8
Pants on Fire,2014,5.1
Revenge of the Green Dragons,2014,5.3
Romeo Ranjha,2014,4.7
Search Party,2014,5.6
Skin Trade,2014,5.6
Swearnet Live,2014,4.6
Swearnet: The Movie,2014,5.9
Tamanchey,2014,4.5
The Amazing Praybeyt Benjamin,2014,4.1
The Captive,2014,5.9
The First Line,2014,5.1
The Forgotten,2014,5.3
Tusk,2014,5.3
Ungli,2014,5.7
Warda,2014,4.1
When Love Happens,2014,4.9
Yellowbird,2014,5.6
Zapped,2014,5.1
13 Cameras,2015,5.1
2015 Dream Concert,2015,5.7
3 Generations,2015,5.9
6 Years,2015,5.6
A Sort of Homecoming,2015,5.8
A Tale of Love and Darkness,2015,6
A Very Murray Christmas,2015,5.5
ABCD 2,2015,5.4
Abzurdah,2015,5.4
Amar Akbar & Tony,2015,5.2
Anjelah Johnson: Not Fancy,2015,5.8
Backtrack,2015,5.9
Barbie in Princess Power,2015,5.5
Barbie in Rock 'N Royals,2015,6
Barely Lethal,2015,5.4
Beauty and the Bestie,2015,4.7
Belief: The Possession of Janet Moses,2015,5.8
Bioscope,2015,5.8
Bob's Broken Sleigh,2015,4.7
Bon Bini Holland,2015,5.6
By the Sea,2015,5.3
Calendar Girls,2015,4.2
Christmas in the Smokies,2015,5.9
Circle,2015,6
Demonic,2015,5.3
Die Ontwaking,2015,4.7
Dilwale,2015,5.2
Don Verdean,2015,5.4
Faraar,2015,5.3
Five Nights in Maine,2015,4.6
French Dirty,2015,5.2
French Toast,2015,5.6
Gridlocked,2015,5.8
Hard Tide,2015,4.7
Helios,2015,5.5
I Am Michael,2015,5.6
Incorruptible,2015,5.9
Interrogation,2015,4.9
Into the Forest,2015,5.8
It's Now or Never,2015,5.2
Jem and the Holograms,2015,4.1
Jupiter Ascending,2015,5.3
Katti Batti,2015,4.9
Kis Kisko Pyaar Karoon,2015,5.7
Lang Tong,2015,5.2
"Liar, Liar, Vampire",2015,5.8
Lila & Eve,2015,5.8
Loev,2015,5.8
Lusers,2015,4.8
Manson Family Vacation,2015,5.8
Mariah Carey's Merriest Christmas,2015,4.9
Mike Epps: Don't Take It Personal,2015,4.2
Mojave,2015,5.2
My Big Night,2015,6
My Ex-Ex,2015,4.4
Naomi and Ely's No Kiss List,2015,5.5
Natural Selection,2015,5.1
Off Course,2015,5.8
P Se PM Tak,2015,4
Pedal the World,2015,5.1
Phantom,2015,5.9
Phir Se,2015,5.6
Puerto Ricans in Paris,2015,5.3
Ralphie May: Imperfectly Yours,2015,5.6
Ralphie May: Unruly,2015,4.7
Regatta,2015,4.5
Rembat,2015,4.8
Results,2015,5.4
Saadey CM Saab,2015,5.6
Sinister 2,2015,5.3
Sister Code,2015,4.6
Spanish Affair 2,2015,5.3
The Adderall Diaries,2015,5.2
The Apostate,2015,6
The Bad Education Movie,2015,5.7
The Blackcoat's Daughter,2015,5.9
The Boss's Daughter,2015,5.5
The Ridiculous 6,2015,4.8
The Runner,2015,4.7
The Trust,2015,5.4
The Vatican Tapes,2015,4.9
What the Jatt!!,2015,5.3
X: Past Is Present,2015,5.4
Yes or No 2.5,2015,5.3
7:19,2016,6
#Rucker50,2016,5.3
14 Minutes from Earth,2016,5.4
25 Kille,2016,5.9
93 Days,2016,6
A Mighty Team,2016,5.5
A Yellow Bird,2016,5.5
Albion: The Enchanted Stallion,2016,5.2
American Anarchist,2016,5.8
Annabelle Hooper and the Ghosts of Nantucket,2016,5.6
Arctic Heart,2016,5.2
Autohead,2016,6
Azhar,2016,5.8
Baaghi,2016,5.2
Barbie: Spy Squad,2016,5.7
Barry,2016,5.8
Bathinda Express,2016,5.8
Be Somebody,2016,5.6
Because We're Heading Out,2016,4.1
Below Her Mouth,2016,5.5
Brahman Naman,2016,5.6
Camera Store,2016,5.6
Catfight,2016,5.8
Cave,2016,4.2
Cedric the Entertainer: Live from the Ville,2016,5.9
Chronically Metropolitan,2016,5.1
City of Tiny Lights,2016,5.5
Come and Find Me,2016,5.7
Dark Crimes,2016,4.9
Darra,2016,5.1
Deuces,2016,5.9
