Title,release_year,IMDb
The Hard Way,2019,4.8
The Influence,2019,4.5
The Knight Before Christmas,2019,5.5
The Last Laugh,2019,5.6
The Last Summer,2019,5.6
The Last Whistle,2019,4.9
The Little Switzerland,2019,4.8
The Perfect Date,2019,5.8
The Pursuit,2019,6
The Set Up,2019,4.4
The Silence of the Marsh,2019,5
The Wandering Earth,2019,6
The World We Make,2019,5.1
Tootsies & The Fake,2019,5.9
Triple Threat,2019,5.5
True: Grabbleapple Harvest,2019,4.8
Uncle Naji in UAE,2019,5.7
Unicorn Store,2019,5.5
Velvet Buzzsaw,2019,5.7
We Are Legends,2019,5.1
Who Would You Take to a Deserted Island?,2019,5.3
Wine Country,2019,5.4
#cats_the_mewvie,2020,5.2
All Day and a Night,2020,5.9
Chris D'Elia: No Pain,2020,6
Coffee & Kareem,2020,5.1
Dangerous Lies,2020,5.2
Dragonheart: Vengeance,2020,5.1
Earth and Blood,2020,5
Guilty,2020,5.5
Horse Girl,2020,5.9
Leslie Jones: Time Machine,2020,5.1
Love Aaj Kal,2020,5.2
Love Wedding Repeat,2020,5.5
Maska,2020,6
Mrs. Serial Killer,2020,4.5
Rich in Love,2020,6
Rising High,2020,5.7
Roped,2020,5.5
Shimla Mirchi,2020,4.7
Sol Levante,2020,4.8
The Decline,2020,5.9
The Last Thing He Wanted,2020,4.2
The Main Event,2020,4.7
The Wrong Missy,2020,5.8
To All the Boys: P.S. I Still Love You,2020,6
True: Wuzzle Wegg Day,2020,5.6
Ultras,2020,6
