Title,IMDb
Madagascar: Escape 2 Africa,6.6
The Wolf's Call,6.9
What Happened to Monday,6.9
The Willoughbys,6.4
The White Helmets,7.5
Suburra,7.4
The Matrix Revolutions,6.8
Richard Pryor: Live in Concert,8.2
Austin Powers: The Spy Who Shagged Me,6.6
Get Him to the Greek,6.4
Slow West,6.9
The Meyerowitz Stories (New and Selected),6.9
The Battered Bastards of Baseball,8.0
The Perfection,6.1
Ip Man 3,7.1
Sinister,6.8
Rush: Beyond the Lighted Stage,8.4
20 Feet from Stardom,7.4
The Stanford Prison Experiment,6.9
My Week with Marilyn,7.0
Catfish,7.1
Secret Superstar,7.9
Private Life,7.2
Jarhead,7.0
Yes Man,6.8
For the Love of Spock,7.6
Goon,6.8
Ace Ventura: Pet Detective,6.9
Inequality for All,8.0
Olympus Has Fallen,6.5
Dave Chappelle: Sticks & Stones,8.5
John Mulaney: Kid Gorgeous at Radio City,7.9
La Bamba,6.9
Public Enemies,7.0
Supersonic,7.9
The Edge of Democracy,7.1
The Polar Express,6.6
Under the Skin,6.3
Crip Camp: A Disability Revolution,7.8
Tell Me Who I Am,7.6
Hey Arnold! The Jungle Movie,7.6
Zack and Miri Make a Porno,6.5
The Score,6.8
Hamburger Hill,6.7
9,7.1
Undefeated,7.7
Team Foxcatcher,7.3
A Shaun the Sheep Movie: Farmageddon,6.9
April and the Extraordinary World,7.3
The Highwaymen,6.9
Legend,6.9
Boy & the World,7.6
Creep 2,6.4
Terminator 3: Rise of the Machines,6.3
Unrest,7.7
Guru,7.7
Louis C.K. 2017,7.6
A Twelve-Year Night,7.6
Happy as Lazzaro,7.6
"What Happened, Miss Simone?",7.6
Blue Jay,7.3
1922,6.3
Hancock,6.4
Circus of Books,7.1
"Hail, Caesar!",6.3
The Pixar Story,7.8
Child's Play,6.6
Springsteen On Broadway,8.5
The Angry Birds Movie 2,6.4
Obvious Child,6.8
Awe!,7.8
American Honey,7.0
Last Breath,7.7
Udta Punjab,7.8
Den of Thieves,7.0
Wadjda,7.5
The Spiderwick Chronicles,6.5
The Christmas Chronicles,7.1
Turbo,6.4
My Girl,6.9
22-Jul,6.8
Adam Sandler: 100% Fresh,7.6
Remember,7.5
Triple Frontier,6.4
Bombshell: The Hedy Lamarr Story,7.4
Paddleton,7.2
Bad Boys II,6.6
Sour Grapes,7.3
Betting on Zero,7.2
Delhi Belly,7.5
Being Elmo: A Puppeteer's Journey,7.6
Williams,7.6
It Comes at Night,6.2
Cuba and the Cameraman,8.2
Creep,6.3
The Interview,6.5
Bobby Robson: More Than a Manager,8.2
Outbreak,6.6
Black Snake Moan,6.9
Bright,6.3
Cargo,6.3
Even the Rain,7.4
Candyman,6.6
Mary and the Witch's Flower,6.8
Calibre,6.7
First They Killed My Father,7.2
Us and Them,7.3
Up in Smoke,7.0
Final Destination,6.7
Kill the Messenger,6.9
Operation Odessa,7.8
The American Meme,7.3
Outlaw King,6.9
21,6.8
Holding the Man,7.4
Krisha,7.2
De Palma,7.4
Dear Ex,7.4
Tomorrow Never Dies,6.5
Veronica,6.2
The Cakemaker,7.2
Instructions Not Included,7.5
Bleed for This,6.8
Girl,7.2
The Naked Gun 2½: The Smell of Fear,6.9
Bareilly's Barfi,7.5
The Sky Is Pink,7.5
Chitty Chitty Bang Bang,6.9
A Wednesday!,8.1
Jodhaa Akbar,7.6
Handsome Devil,7.1
"Love, Rosie",7.2
Oceans,7.8
The Ritual,6.3
Super Dark Times,6.6
Tallulah,6.7
Other People,6.8
Alpha Dog,6.9
Spectral,6.3
The Babysitter,6.3
"Extremely Wicked, Shockingly Evil and Vile",6.6
Heneral Luna,7.6
Click,6.4
The Duchess,6.9
The Last Man on the Moon,7.4
The 24 Hour War,7.2
Mune: Guardian of the Moon,7.2
The Devil We Know,7.7
How the Grinch Stole Christmas,6.2
LA Originals,7.3
Whisky,7.1
The Sapphires,7.0
Bloodsport,6.8
Tinker Bell and the Legend of the NeverBeast,7.3
Get Me Roger Stone,7.4
Alex Strangelove,6.3
She's Out of My League,6.4
Sarah's Key,7.5
My Happy Family,7.4
Killing Them Softly,6.2
Ittefaq,7.2
6 Underground,6.1
The Accountant of Auschwitz,7.3
Echo in the Canyon,7.0
Hold the Dark,5.6
Suffragette,6.9
The Siege of Jadotville,7.2
Terminator Salvation,6.5
Hotel Transylvania 3: Summer Vacation,6.3
Filmworker,7.4
Our Souls at Night,6.9
Mine 9,6.7
Everybody Knows,6.9
Retribution,6.6
Ice Guardians,7.5
Tinker Bell and the Pirate Fairy,6.6
The World Is Not Enough,6.4
Suite Française,7.0
Period. End of Sentence.,7.4
Beyond the Mat,7.6
Next Gen,6.6
Cam,5.9
Divines,7.4
Shirkers,7.4
Underworld: Evolution,6.7
Om Shanti Om,6.7
How to Change the World,7.6
Spitfire,7.5
You Are My Sunday,7.7
Dear Zindagi,7.6
Uncorked,6.1
The Water Diviner,7.0
Gaga: Five Foot Two,7.0
Austin Powers in Goldmember,6.2
He Never Died,6.4
Black Sea,6.4
Ali's Wedding,6.9
Event Horizon,6.7
Mississippi Grind,6.4
They'll Love Me When I'm Dead,7.4
Kai Po Che!,7.6
Badla,7.9
Young Adult,6.2
ZZ Top: That Little Ol' Band From Texas,7.4
Scary Movie,6.2
The Dirt,7.0
Killer Klowns from Outer Space,6.2
The Exception,6.8
Spenser Confidential,6.2
Wheelman,6.4
While We're Young,6.3
Die Another Day,6.1
The Grandmaster,6.6
Bathtubs Over Broadway,7.5
Cadillac Records,7.0
I am Divine,7.6
King Jack,7.0
The Runaways,6.5
2012,5.8
The Half of It,7.0
Tigertail,6.4
Sleeping with Other People,6.5
What Lies Beneath,6.6
Fractured,6.4
Master Z: Ip Man Legacy,6.5
Neruda,6.9
One Day,7.0
Just Friends,6.2
Aśoka,6.5
Harold and Lillian: A Hollywood Love Story,8.0
The Grinch,6.3
Qarib Qarib Singlle,7.0
Beasts of No Nation,7.7
Time Trap,6.5
Final Destination 2,6.2
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1
Dance Academy: The Movie,7.0
White Fang,6.9
All the Bright Places,6.5
Elena,7.6
Underworld: Rise of the Lycans,6.6
Talaash,7.2
Kevin Hart: Laugh at My Pain,7.4
Gridiron Gang,6.9
Hot Rod,6.7
Bee Movie,6.1
Trash,7.2
The Photographer of Mauthausen,6.7
He's Just Not That Into You,6.4
Forks Over Knives,7.7
Bandits,6.5
Sanju,7.8
Blame!,6.7
Quincy,7.6
DragonHeart,6.5
Bad Day for the Cut,6.5
We the Animals,6.9
Soul Surfer,7.0
Rocko's Modern Life: Static Cling,7.0
Haywire,5.8
Pink,8.1
Stuart Little,5.9
Cutie and the Boxer,7.2
The World Is Yours,6.4
Berlin Syndrome,6.3
Furie,5.8
Big Miracle,6.5
Tramps,6.5
Parmanu: The Story of Pokhran,7.7
Kursk,6.6
Deep Impact,6.2
The Kindergarten Teacher,6.7
Stonehearst Asylum,6.8
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",7.8
The Wandering Earth,6.0
Bon Cop Bad Cop,6.8
Melvin Goes to Dinner,6.8
Chappaquiddick,6.5
Miles Davis: Birth of the Cool,7.4
Mission Control: The Unsung Heroes of Apollo,7.5
Dukhtar,7.0
Red Dawn,6.4
Kaabil,7.1
The Company Men,6.7
Studio 54,6.9
The Case for Christ,6.2
Outside In,6.6
Mowgli: Legend of the Jungle,6.5
