Title,type,country,date_added,release_year,rating,description,IMDb,Genre
Good Morning Call,TV Show,Japan,2017-11-28,2017,TV-14,"A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together.",7.8,Comedy
Good People,Movie,United States,2017-09-08,2014,R,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,5.5,Action & Adventure
Good Sam,Movie,United States,2019-05-16,2019,TV-PG,A curious reporter finds love while pursuing the story of a mysterious figure who's leaving bags of cash for strangers around New York City.,5.6,Drama
Good Time,Movie,United States,2020-02-11,2017,R,"After spearheading an ill-fated bank robbery, a man must get his mentally challenged younger brother out of jail while eluding his own capture.",7.4,Drama
Good Witch,TV Show,United States,2020-04-30,2019,TV-PG,"Raising her daughter in a small town, an enchanting widow with magical powers provokes the interest and exasperation of a skeptical big-city doctor.",7.3,Drama
Goon,Movie,United States,2017-08-15,2011,R,"When he's seen dispatching a rude opposing hockey player in the stands, Doug Glatt is hired by a rival team ... for his fighting skills.",6.8,Comedy
Goon: Last of the Enforcers,Movie,Canada,2017-12-30,2016,R,"Injury and family push hockey player Doug Glatt into retirement, but his plans change when his beloved former team appoints his nemesis as captain.",5.8,Comedy
Goosebumps,TV Show,Canada,2014-11-19,1998,TV-G,R.L. Stine's tales take on a life of their own in a series that combines original stories with adaptations drawn from the popular books.,7.7,Children
Goosebumps 2: Haunted Halloween,Movie,United States,2019-04-25,2018,PG,"Three teens spend their Halloween trying to stop a magical book, which brings characters from the ""Goosebumps"" novels to life.",5.6,Comedy
Gori Tere Pyaar Mein,Movie,India,2020-04-01,2013,TV-14,"Sriram is concerned only with spending money, until he meets Dia, a principled activist. Now he's determined to prove himself worthy of her affection.",5.0,Comedy
Gossip Girl,TV Show,United States,2013-10-08,2012,TV-14,A group of hyperprivileged Manhattan private-school kids seem to get away with everything. Except an anonymous blogger is watching their every move.,7.4,Drama
Gotham,TV Show,United States,2019-09-30,2019,TV-MA,"Long before he was commissioner, rookie cop James Gordon takes on Gotham City crime and corruption to avenge the murder of Bruce Wayne's parents.",7.8,Crime
Goyo: The Boy General,Movie,Philippines,2019-01-26,2018,TV-MA,"Brash ladies' man Gregorio ""Goyo"" del Pilar rises to become one of the Philippines' youngest generals in this historical epic sequel to ""Heneral Luna.""",6.7,Drama
Grace and Frankie,TV Show,United States,2020-01-15,2020,TV-MA,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",8.3,Comedy
Grand Designs,TV Show,United Kingdom,2019-08-01,2017,TV-14,"Host Kevin McCloud presents people who take self-building houses to a new level, following every step of their ambitious plans from beginning to end.",8.5,Reality
Grand Hotel,TV Show,Spain,2017-11-01,2013,TV-PG,"To learn the truth about his sister's mysterious disappearance, a young man infiltrates a hotel in the guise of a footman and begins an investigation.",8.4,Romance
Grandmaster,Movie,India,2018-11-01,2012,TV-14,"Anticipating the next move in a serial killer's grisly game, a police chief realizes that his daughter and estranged wife are the next likely victims.",7.0,Thrillers
Grass,Movie,United States,2019-02-14,2017,TV-MA,Good girl Cam recruits her pot-loving bestie Jinky to help deliver a backpack full of weed for her drug-dealing fiancé.,4.7,Comedy
Great News,TV Show,United States,2018-10-25,2017,TV-14,A TV news producer's ambitions take an awkward turn when her mother rejoins the workforce and snags a job as the station's newest intern.,7.0,Comedy
Green Door,TV Show,Taiwan,2019-03-17,2019,TV-MA,"A troubled psychologist returns from the U.S. and sets up a clinic in Taiwan, where mysterious patients and uncanny events shed light on his murky past.",6.1,Comedy
Green Eggs and Ham,TV Show,United Kingdom,2019-11-08,2019,TV-Y7,"On a road trip to save an endangered animal, polar opposites Guy and Sam learn to try new things like friendship – and a certain delectable dish.",8.2,Comedy
Green Frontier,TV Show,Colombia,2019-08-16,2019,TV-MA,"When a young Bogotá-based detective gets drawn into the jungle to investigate four femicides, she uncovers magic, an evil plot and her own true origins.",7.4,Crime
Green Room,Movie,United States,2018-11-12,2015,R,"At the end of their low-budget tour, a punk band accepts a gig at an isolated rural club, only to discover that their hosts are neo-Nazis.",7.0,Horror
Greenhouse Academy,TV Show,United States,2020-03-20,2020,TV-PG,"When teen siblings Hayley and Alex enter an elite boarding school, they find rivalry, romance and a mystery related to the recent loss of their mom.",7.0,Drama
Greenleaf,TV Show,United States,2020-09-10,2020,TV-14,"Although members of the Greenleaf family run a Memphis megachurch, their business and personal lives are tainted with greed, adultery and other sins.",7.3,Drama
Greg Davies: You Magnificent Beast,Movie,United Kingdom,2018-04-10,2018,TV-MA,"British comedian Greg Davies revisits terrifying dates, manscaping disasters, his father's pranks and more in a savagely funny stand-up special.",7.1,Comedy
Grey's Anatomy,TV Show,United States,2020-05-09,2019,TV-14,Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.,7.6,Drama
Gridlocked,Movie,Canada,2016-07-14,2015,R,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries.",5.8,Action & Adventure
Grillo vs Grillo,Movie,Italy,2017-02-10,2017,TV-MA,"Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics.",4.7,Comedy
Growing Up Wild,Movie,United States,2017-02-19,2016,G,"Five baby animals from different parts of the world grow up learning to survive in the wild, nurtured by the love and guidance of their families.",7.3,Documentaries
Guilty,Movie,India,2020-03-06,2020,TV-MA,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",5.5,Drama
Gun City,Movie,Spain,2018-10-31,2018,TV-MA,"In 1921 Barcelona, amid unrest between anarchists and the police, a cop plays both sides to learn who stole army weapons that could ignite a civil war.",6.3,Drama
Gun Runners,Movie,Canada,2017-02-01,2015,TV-PG,Two roaming Kenyan bandits attempt to change the course of their lives by exchanging their rifles for running shoes.,7.2,Documentaries
Gurgaon,Movie,India,2018-05-01,2017,TV-14,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",6.6,Drama
Gurren Lagann,TV Show,Japan,2017-09-01,2007,TV-14,"When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble.",8.3,Anime
Guru,Movie,India,2018-03-01,2007,TV-PG,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.,7.7,Drama
Guzaarish,Movie,India,2018-08-02,2010,TV-14,"After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die.",7.4,Drama
Gypsy,TV Show,United States,2017-06-30,2017,TV-MA,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.,6.9,Drama
H2O: Just Add Water,TV Show,Australia,2020-10-02,2009,TV-PG,The gals in this fantasy series cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.,7.2,Drama
Haani,Movie,India,2018-10-01,2013,TV-14,"When a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart.",7.1,Drama
Habibie & Ainun,Movie,Indonesia,2019-01-28,2012,TV-14,"This companion to 2016's ""Rudy Habibie"" traces the relationship between Indonesia’s third president and his wife behind the scenes of their public lives.",7.6,Drama
Hache,TV Show,Spain,2019-11-01,2019,TV-MA,"As Helena gains the love and trust of a dangerous heroin cartel leader in 1960s Barcelona, she hones the skills she needs to rise up the ranks.",6.3,Crime
Haider,Movie,India,2018-08-02,2014,TV-MA,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.,8.1,Drama
Haikyu!!,TV Show,Japan,2019-11-01,2015,TV-14,"Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height.",8.7,Teen
"Hail, Caesar!",Movie,United States,2020-04-16,2016,PG-13,"When a major star is kidnapped from a movie set, a hard-charging but overwhelmed studio boss sets out to find the actor and save the film.",6.3,Comedy
Hakkunde,Movie,Nigeria,2020-01-31,2017,TV-14,A perpetually unemployed graduate desperately leaves his city for a potential opportunity until a roadblock threatens to derail his chance at a career.,6.6,Comedy
Half Girlfriend,Movie,India,2020-01-02,2017,TV-14,"Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise.",4.3,Drama
Halkaa,Movie,India,2018-11-15,2018,TV-14,"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet.",7.3,Comedy
Halt and Catch Fire,TV Show,United States,2017-12-14,2017,TV-14,"Re-creating the dawn of the personal computer era, this digital drama tracks the fates of an industry visionary and his brilliant colleagues.",8.4,Drama
Hamburger Hill,Movie,United States,2019-11-23,1987,R,The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.,6.7,Drama
Hamid,Movie,India,2019-05-15,2018,TV-MA,"Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help – until one day, a hardened army officer picks up.",7.8,Drama
Handsome Devil,Movie,Ireland,2017-08-01,2016,TV-MA,"A self-described outsider is sent to a rugby-obsessed boarding school, where he forms an unexpected bond with the star player.",7.1,Comedy
Handsome Siblings,TV Show,China,2020-01-16,2020,TV-14,"Clashing martial arts twins face relentless villains, thorny romance and brotherly rivalry as their troubled pasts catch up to them.",8.2,Drama
Handsome: A Netflix Mystery Movie,Movie,United States,2017-05-05,2017,TV-MA,Homicide detective Gene Handsome sets out to solve a woman's murder while searching for clues about what's missing from his personal life.,5.2,Comedy
Hangman,Movie,United States,2020-05-06,2017,R,"A homicide detective, a criminal profiler and a journalist team up to nab a serial killer whose murders are inspired by the classic game of Hangman.",5.2,Thrillers
Hannah Gadsby: Nanette,Movie,Australia,2018-06-19,2018,TV-MA,"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.",8.2,Comedy
Hannibal Buress: Comedy Camisado,Movie,United States,2016-02-05,2016,TV-MA,"In a special packed with stealthy humor, Hannibal Buress tackles zipper etiquette, the legacy of steroids and the fallout from his Bill Cosby routine.",6.6,Comedy
Hantu Kak Limah,Movie,Malaysia,2019-01-31,2018,TV-PG,"When Kak Limah turns up dead shortly after her marriage to a much younger man, her pesky ghost haunts the villagers, who can't seem to get rid of her.",6.4,Comedy
Hap and Leonard,TV Show,United States,2019-03-06,2018,TV-MA,"In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends.",7.6,Crime
Happy 300 Days,TV Show,Taiwan,2017-01-01,2013,TV-14,"An unexpected pregnancy sends a woman back to her hometown to share a house with three nice guys. Each has problems, but each would make a great dad.",4.3,Comedy
Happy Anniversary,Movie,United States,2018-03-30,2018,TV-MA,A quirky couple spends their three-year dating anniversary looking back at their relationship and contemplating whether they should break up.,5.7,Comedy
Happy as Lazzaro,Movie,Italy,2018-11-30,2018,PG-13,"Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world.",7.6,Drama
Happy Go Lucky,Movie,India,2018-10-01,2014,TV-14,"Three sisters seem to be ideal brides for three brothers. But when the girls' father won't allow the marriages, the boys use trickery to pull it off.",6.5,Comedy
Happy New Year,Movie,India,2017-02-01,2014,TV-14,A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.,5.0,Comedy
Happy Old Year,Movie,Thailand,2020-03-26,2019,TV-MA,"While decluttering her home, a woman’s hefty house renovation leads her back to the past when she uncovers her ex-boyfriend’s belongings.",7.5,Drama
Haraamkhor,Movie,India,2017-02-01,2015,TV-14,"A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires.",6.4,Drama
Hard Tide,Movie,United Kingdom,2017-09-06,2015,TV-MA,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,4.7,Drama
Hardy Bucks,TV Show,Ireland,2019-01-11,2018,TV-MA,"A circle of young men entertain vague ambitions involving quick cash, women and showbiz in this mockumentary on small-town Irish life in County Mayo.",8.3,Comedy
Hari Kondabolu: Warn Your Relatives,Movie,United States,2018-05-08,2018,TV-MA,"Hari Kondabolu breaks down identity politics, celebrity encounters, his mango obsession and more in an unpredictable stand-up comedy special.",6.4,Comedy
Harishchandrachi Factory,Movie,India,2018-10-01,2009,TV-PG,"Against a backdrop of burgeoning social unrest, a neophyte filmmaker makes history in 1913 as the director of India's first feature-length film.",8.4,Drama
Harith Iskander: I Told You So,Movie,United States,2018-01-19,2018,TV-14,"Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, Rick Astley and more.",4.5,Comedy
Harold and Lillian: A Hollywood Love Story,Movie,United States,2018-11-25,2015,TV-14,"Storyboard artist Harold Michelson and his film researcher wife, Lillian, recall the influence they had on 60 years of Hollywood's biggest hits.",8.0,Documentaries
Harry & Bunnie,TV Show,Malaysia,2017-10-15,2017,TV-Y7,A young wannabe magician and his mischievous stage rabbit battle and sabotage each other while putting on shows.,4.0,Comedy
Hart of Dixie,TV Show,United States,2015-12-15,2014,TV-PG,Fast-talking city girl Zoe Hart winds up patching up the locals of a tiny town in the Deep South when she inherits a medical practice in Alabama.,7.7,Comedy
Harvey Street Kids,TV Show,United States,2020-01-10,2020,TV-Y7,"Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.",6.1,Comedy
Hasee Toh Phasee,Movie,India,2020-04-01,2014,TV-14,"Nikhil is tasked with keeping his fiancée's troublemaking sister, Meeta, from ruining his wedding. But in the process, the two become inseparable.",6.8,Comedy
Haters Back Off,TV Show,United States,2017-10-20,2017,TV-PG,"Determined to make it big, the confident but clueless Miranda Sings embarks on an unlikely quest for fame in this offbeat comedy.",6.0,Comedy
Hattrick,Movie,India,2018-11-01,2007,TV-14,Stories of personal victories coincide with Team India's battle for the Cricket World Cup in this engaging ensemble drama.,4.2,Comedy
Haunted,TV Show,United States,2019-10-11,2019,TV-MA,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",4.5,Horror
Haunting on Fraternity Row,Movie,United States,2019-03-01,2018,TV-MA,"When a fraternity's last big luau serves up horrible deaths to its partygoers, the brothers learn firsthand about their house’s frightening history.",3.8,Horror
Have a Good Trip: Adventures in Psychedelics,Movie,United States,2020-05-11,2020,TV-MA,"Explore hallucinogenic highs and lows as celebrities share funny, mind-blowing tales via animations, reenactments and more in this documentary.",7.0,Documentaries
Have You Seen the Listers?,Movie,Australia,2019-02-01,2017,TV-MA,This documentary paints a candid picture of Australian street artist Anthony Lister as he navigates his burgeoning career and personal hardships.,6.8,Documentaries
Haven,TV Show,Canada,2015-09-08,2015,TV-14,"Residents of Haven, Maine, are plagued by supernatural afflictions. To reveal the truth, FBI agent Audrey Parker must delve into her own strange past.",7.5,Horror
Havenhurst,Movie,United States,2017-06-10,2016,TV-MA,"An alcoholic with a tragic past rents an apartment in a building for those in recovery, but soon learns the truth about residents who get ""evicted.""",4.8,Horror
Haywire,Movie,Ireland,2020-03-01,2011,R,A last-minute mission in Dublin turns deadly for stunning secret operative Mallory Kane when she realizes she's been betrayed.,5.8,Action & Adventure
Hazaaron Khwaishein Aisi,Movie,India,2019-04-15,2003,TV-MA,"In a politically charged India of the 1970s, three friends are transformed by personal ideologies, dangerous ambitions and matters of the heart.",7.9,Drama
He Even Has Your Eyes,Movie,France,2017-05-01,2016,TV-MA,"When French-African couple Paul and Sali discover the longed-for baby they are about to adopt is white, family chaos and confrontation ensue.",6.2,Comedy
He Named Me Malala,Movie,United States,2018-06-01,2015,PG-13,"This documentary tells the story of a teenage Pakistani girl shot for her advocacy of women's education, her survival, and her continued efforts.",6.9,Documentaries
He Never Died,Movie,Canada,2016-03-18,2015,R,A reclusive immortal who needs human flesh but tries to stay clean finds himself cast back into society by a gang of thugs and his estranged daughter.,6.4,Comedy
He's Out There,Movie,United States,2019-01-12,2018,R,"While vacationing at a remote lake house, a mother and her daughters become pawns in the twisted game of an ax-wielding psychopath.",5.2,Horror
Head Count,Movie,United States,2019-09-13,2018,TV-MA,A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.,5.3,Horror
Head On,Movie,Australia,2018-08-25,1998,TV-MA,"This edgy drama follows 19-year-old Ari, a gay Greek-Australian whose roiling ethnic- and sexual-identity struggles lead to a wild, 24-hour odyssey.",6.5,Drama
Headshot,Movie,Indonesia,2017-06-03,2016,TV-MA,"When a young man wakes from a coma, memories of brutal violence begin to surface, putting his life – and that of his doctor – in jeopardy.",6.3,Action & Adventure
Headwinds,Movie,France,2017-01-01,2011,TV-MA,"After his wife inexplicably disappears, a man takes their two children and relocates to his hometown in an attempt to end their grief and move on.",6.5,Drama
Heal,Movie,United States,2019-02-01,2017,TV-14,"Stories from spiritual leaders, physicians and those with chronic illnesses reveal the powerful connection between the human psyche and physical health.",6.9,Documentaries
Heartbreakers,Movie,United States,2019-12-31,2001,PG-13,"In this stylish comedy, a mother-daughter con team makes money the old-fashioned way: They use their feminine wiles to swindle it.",6.2,Comedy
Heartland,TV Show,Canada,2019-08-01,2017,TV-14,Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.,8.4,Drama
Heartthrob,Movie,United States,2018-01-01,2017,TV-MA,"A shy, brilliant boy and a popular girl fall into an unexpected romance. But as their bond deepens, his attraction begins taking on dark overtones.",5.5,Thrillers
Heavy Rescue: 401,TV Show,Canada,2018-06-22,2018,TV-MA,"In the harshest weather, rookie and veteran heavy recovery operators fight to keep southern Ontario's busy, treacherous highways clear and safe.",6.9,Reality
Helios,Movie,Hong Kong,2018-12-01,2015,TV-14,"When master criminal Helios steals a mobile WMD, rival agents from Hong Kong, South Korea and China must join forces to recover the device.",5.5,Action & Adventure
Helix,TV Show,United States,2018-11-10,2015,TV-MA,"While investigating a possible outbreak at an Arctic research facility, scientists discover a new virus that could wipe out every human on the planet.",6.8,Horror
Hell on Wheels,TV Show,Canada,2016-05-28,2016,TV-14,Former Confederate soldier Cullen Bohannon sets out on a quest to find his wife's killer as post-Civil War America struggles to rebuild its identity.,8.3,Crime
Hell or High Water,Movie,United States,2019-01-01,2016,R,"In a desperate bid to save their family ranch, two brothers stage a series of clever bank robberies with a pair of Texas Rangers in hot pursuit.",7.6,Drama
Hello Ninja,TV Show,United States,2020-07-10,2020,TV-Y,"BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day.",7.5,Children
"Hello, Privilege. It's Me, Chelsea",Movie,United States,2019-09-13,2019,TV-MA,"In this documentary, Chelsea Handler explores how white privilege impacts American culture – and the ways it’s benefited her own life and career.",4.1,Documentaries
Hemlock Grove,TV Show,United States,2015-10-23,2015,TV-MA,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",7.1,Horror
Heneral Luna,Movie,Philippines,2018-10-31,2015,R,Flashbacks reveal Gen. Antonio Luna's tireless fight for Filipino independence from the U.S. and his leadership in the Philippine-American War in 1899.,7.6,Drama
Her,Movie,United States,2018-07-29,2013,R,Love comes to a lonely writer in the sleekest of packages when he finds himself falling for the advanced operating system he bought to run his life.,8.0,Drama
Hera Pheri,Movie,India,2019-12-31,1976,TV-14,The bond between two crooks and best friends is threatened when one learns that the other's father had a hand in his own tragic past.,6.8,Comedy
Here Alone,Movie,United States,2017-07-01,2016,TV-MA,"When she finally encounters two other survivors, a woman alone in a world decimated by a zombie epidemic struggles to trust her new companions.",5.6,Horror
Here to Heart,TV Show,China,2018-10-23,2018,TV-14,Wen Nuan signs on to work as the executive assistant to ex Zhan Nanxian at his tech firm. Helping him at work just may lead her back into his heart.,8.0,Drama
Hero,Movie,Hong Kong,2018-08-01,1997,TV-MA,"A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine.",6.3,Action & Adventure
Heroes Wanted,Movie,Spain,2017-02-01,2016,TV-MA,"When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes?",4.6,Comedy
Heroin(e),Movie,United States,2017-09-12,2017,TV-14,"This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic.",6.8,Documentaries
Heroine,Movie,India,2018-11-01,2012,TV-MA,One woman experiences the dramatic highs and lows of fame in this voyeuristic glimpse past the glitz and glamour of a Bollywood superstar's life.,5.1,Drama
Hey Arnold! The Jungle Movie,Movie,United States,2019-11-02,2017,TV-PG,"When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents.",7.6,Comedy
Hibana: Spark,TV Show,Japan,2016-06-02,2016,TV-MA,A dramatic series about friendship and conflict between two comedians who search for meaning in life and comedy. Based on the prize-winning book.,8.1,Drama
Hidden Singer,TV Show,South Korea,2017-05-19,2015,TV-Y7,Pop stars and impersonators face off to be the last one standing as the audience tries to determine the real singer by listening to their voices only.,6.2,Reality
Hidden Worlds,TV Show,Egypt,2019-02-05,2018,TV-14,"While investigating an actress’s supposed suicide and her connection to the mafia, a veteran journalist discovers that corruption runs deep.",6.9,Crime
Hide and Seek,Movie,China,2017-08-19,2016,TV-14,"While living a comfortable life with his wife and child, a germophobic man realizes his estranged brother may have committed a terrible crime.",5.9,Thrillers
High Flying Bird,Movie,United States,2019-02-08,2019,TV-MA,"When an NBA lockout sidelines his big rookie client, an agent hatches a bold plan to save their careers – and disrupt the league's power structure.",6.2,Drama
High Seas,TV Show,Spain,2020-08-07,2020,TV-MA,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,6.8,Crime
High Society,Movie,South Korea,2019-01-29,2018,TV-MA,"A deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the über-elite.",5.3,Drama
Highly Strung,Movie,Australia,2017-02-01,2015,TV-14,"Fiery passions take center stage in this intimate look at the Australian String Quartet and, perhaps more vital, the priceless instruments they guard.",7.2,Documentaries
Highway,Movie,India,2018-08-02,2014,TV-14,"City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated.",7.7,Drama
Highway Thru Hell,TV Show,Canada,2019-12-03,2016,TV-PG,"On the hazardous highways of Canada's interior, heavy vehicle towing companies experience hardship and triumph rescuing wrecked and stranded trucks.",8.1,Reality
Highway to Heaven,TV Show,United States,2016-11-01,1988,TV-PG,"Under God's direction, angel Jonathan and ex-cop Mark help troubled souls overcome adversity and embrace honesty, kindness and forgiveness.",6.7,Drama
Hikaru Utada Laughter in the Dark Tour 2018,Movie,Japan,2019-06-26,2018,TV-PG,"Celebrating twenty years since her debut, Hikaru Utada takes the stage at Makuhari Messe for the final performance of her Laughter in the Dark Tour.",8.6,Musicals
Hilda,TV Show,United Kingdom,2020-12-14,2021,TV-Y7,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",8.6,Children
Himmatwala,Movie,India,2018-11-01,2013,TV-14,A young man returns to his native village on a mission of vengeance after his father commits suicide in the wake of false accusations.,1.7,Comedy
Hinterland,TV Show,United Kingdom,2017-08-01,2016,TV-14,"Forsaking London for the rustic landscapes of Wales, a police detective with a troubled soul finds himself in a place with secrets as dark as his own.",7.6,Crime
Hisss,Movie,India,2017-12-01,2010,TV-MA,"In a plot to bait the snake-goddess Nagin for her immortality-granting essence, George States journeys to India and abducts her reptilian lover.",2.8,Horror
Historical Roasts,TV Show,United States,2019-05-27,2019,TV-MA,"""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world.",5.3,Comedy
History of Joy,Movie,India,2018-08-01,2017,TV-14,The life of a high-flying law student takes a drastic turn when a bout of misfortune changes his status in society for good.,5.5,Drama
Hit & Run,Movie,United States,2019-11-08,2012,R,"Determined to get his fiancée to L.A. to take advantage of an amazing opportunity, Charlie breaks out of the witness protection program to drive her.",6.1,Comedy
Hitch,Movie,United States,2020-01-01,2005,PG-13,"Smooth and sexy Hitch helps clients make a great first impression on a date, but he's thrown when a lovely reporter starts nosing around his business.",6.6,Comedy
Hitler's Circle of Evil,TV Show,United Kingdom,2018-02-22,2017,TV-14,"Surviving power struggles, betrayals and plots, Hitler's inner circle of Nazi leaders seizes control of Germany and designs its disastrous future.",8.0,Documentaries
Hitler's Olympics,Movie,United Kingdom,2016-08-01,2016,TV-PG,"Hitler, Nazi propaganda and 1936 Berlin Olympics are put under the microscope to uncover hidden truths and the historical legacy of those games.",6.6,Documentaries
Hitler's Steel Beast,Movie,France,2017-11-01,2017,TV-14,"Trace the history of Hitler's armored private train, a 15-car mobile headquarters boasting state-of-the-art communications and anti-aircraft cannons.",6.3,Documentaries
Ho Mann Jahaan,Movie,Pakistan,2017-07-01,2015,TV-PG,"Three friends in modern-day Karachi navigate their post-college lives, while struggling to balance their passion for music with familial obligations.",7.2,Drama
Hoff the Record,TV Show,United Kingdom,2017-03-31,2016,TV-MA,"TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails.",6.9,Comedy
Hold the Dark,Movie,United States,2018-09-28,2018,TV-MA,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",5.6,Drama
Holding the Man,Movie,Australia,2016-08-01,2015,TV-MA,"In 1970s Australia, two teen boys fall in love with each other and defeat obstacles to their 15-year relationship, until a new crisis comes their way.",7.4,Drama
Holiday in the Wild,Movie,United States,2019-11-01,2019,TV-PG,"When her husband abruptly ends their marriage, empty nester Kate embarks on a solo second honeymoon in Africa, finding purpose – and potential romance.",6.1,Drama
Holiday Rush,Movie,United States,2019-11-28,2019,TV-PG,A widowed radio DJ and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before Christmas.,4.8,Drama
Holiday Secrets,TV Show,Germany,2019-11-20,2019,TV-MA,A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.,6.4,Drama
Holidays,Movie,United States,2016-07-15,2016,TV-MA,"Eight gleefully grim short tales set on Halloween, Mother's Day, St. Patrick's Day and other holidays comprise this chilling horror anthology.",5.1,Comedy
Holly Star,Movie,United States,2019-11-01,2018,PG,"Home for the holidays, a broke puppeteer knows there’s treasure buried somewhere under her town. To find it, all she has to do is die – almost.",5.1,Comedy
Hollywood,TV Show,United States,2020-05-01,2020,TV-MA,"In post-World War II Hollywood, an ambitious group of aspiring actors and filmmakers will do almost anything to make their showbiz dreams come true.",7.7,Drama
Holy Camp!,Movie,Spain,2018-01-29,2017,TV-MA,"In this musical comedy, two rebellious teen girls who love electronic music have a life-changing brush with the divine at a camp run by nuns.",6.3,Comedy
Holy Goalie,Movie,Spain,2018-04-27,2017,TV-MA,A young priest coaches a team of uncoordinated monks in order to win a soccer tournament and save their monastery from being turned into a hotel.,5.2,Comedy
Holy Hell,Movie,United States,2016-09-01,2016,NR,An ex-member charts his path from idealism to disenchantment in a California cult when alarming revelations about the group's leader come to light.,7.1,Documentaries
Hombanna,Movie,India,2018-05-01,2017,TV-14,"In the forests of Karnataka, a farmer and his community face eviction from the land when they get caught in the currents of socio-political change.",8.4,Drama
Home for Christmas,TV Show,Norway,2020-12-18,2020,TV-MA,"Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas.",7.6,Comedy
Home: Adventures with Tip & Oh,TV Show,United States,2018-07-20,2018,TV-Y7,"A misfit alien named Oh moves in with Tip and her family, in a series that picks up the dynamic duo's adventures where the hit film left off.",5.8,Comedy
