Title,type,country,date_added,release_year,rating,description,IMDb,Genre
13 Reasons Why: Beyond the Reasons,TV Show,United States,2019-08-23,2019,TV-MA,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",6.5,Crime
13 Sins,Movie,United States,2019-01-13,2014,R,"A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",6.3,Horror
14 Blades,Movie,Hong Kong,2019-04-03,2010,R,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",6.3,Action & Adventure
14 Cameras,Movie,United States,2018-10-27,2018,TV-MA,"Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",4.5,Horror
14 Minutes from Earth,Movie,United States,2019-02-01,2016,TV-MA,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,5.4,Documentaries
18 Presents,Movie,Italy,2020-05-08,2020,TV-MA,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,6.7,Drama
1898: Our Last Men in the Philippines,Movie,Spain,2017-06-02,2016,R,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",6.5,Drama
2 States,Movie,India,2018-08-04,2014,TV-PG,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",6.9,Comedy
20 Minutes,TV Show,Turkey,2017-08-15,2013,TV-MA,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",6.8,Crime
2015 Dream Concert,Movie,South Korea,2017-04-28,2015,TV-PG,"The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",5.7,Musicals
20th Century Women,Movie,United States,2019-06-28,2016,R,"In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",7.3,Drama
21 Thunder,TV Show,Canada,2018-03-01,2017,TV-MA,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",6.2,Crime
24 Hours to Live,Movie,South Africa,2018-04-07,2017,R,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.",5.7,Action & Adventure
25 Kille,Movie,India,2018-10-01,2016,TV-14,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",5.9,Drama
26 Years,Movie,South Korea,2017-10-01,2012,TV-MA,"Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",6.3,Drama
3 Generations,Movie,United States,2017-08-28,2015,PG-13,"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",5.9,Drama
3 Heroines,Movie,Indonesia,2019-01-05,2016,TV-PG,Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,6.5,Drama
3 Idiots,Movie,India,2019-08-01,2009,PG-13,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",8.4,Comedy
