Title,release_year,IMDb
Karzzzz,2008,2.1
Agyaat,2009,2.9
Hisss,2010,2.8
Kajraare,2010,2.9
Tees Maar Khan,2010,2.5
Joker,2012,2.4
Deewana Main Deewana,2013,2.5
Himmatwala,2013,1.7
An Upper Egyptian,2014,3
Black Rose,2014,2.5
A Scandall,2016,3
Aerials,2016,1.4
Attitude Test,2016,2.4
Beiimaan Love,2016,2.8
Bir Baba Hindu,2016,2.8
Amy Schumer: The Leather Special,2017,2.9
Antidote,2018,2.7
Recall,2018,2.7
Romina,2018,2.2
The Ghost and the Tout,2018,2.9
Alien Warfare,2019,2.6
Deadcon,2019,2.8
Enter the Anime,2019,2.5
Kolaiyuthir Kaalam,2019,2.6
Rogue Warfare,2019,2.6
The App,2019,2.6
Ludo,2020,2.8
